,ind cell,total index,TARPg3,Islet1,Pax6,DAPI,CD15,GLT-1,Cav3.1,DAPI,CABP5,SCGN,Kv2.2,DAPI,CAVIII,Rec,DAPI,Calb,PKC,Parv,DAPI
21_s1m1,21_s1m1_cell 0,cell 0,1049.972,1219.007,449.386,369.136,1240.079,981.801,958.693,227.976,2832.377,535.371,2556.831,417.485,2203.484,13829.995,360.501,1027.346,918.365,578.774,392.588
,21_s1m1_cell 1,cell 1,395.788,1588.703,401.111,988.403,1032.487,689.971,897.504,520.148,2343.677,581.832,2347.903,1335.316,2049.701,3100.799,551.9,639.677,961.9,549.374,2217.022
,21_s1m1_cell 2,cell 2,453.132,1118.557,389.423,2316.406,1024.207,721.093,1008.16,944.89,2209.799,1593.214,2509.955,2136.745,2155.466,2365.397,578.747,651.101,750.467,368.244,3577.374
,21_s1m1_cell 3,cell 3,565.603,1665.26,1170.452,4304.305,1162.536,831.56,1058.113,1558.732,2448.664,398.049,2432.743,3310.959,1805.437,1456.221,795.31,671.911,724.99,251.416,6386.156
,21_s1m1_cell 4,cell 4,474.185,1715.672,1364.448,1284.858,1074.59,735.607,919.485,849.994,2261.405,487.929,2517.504,1794.311,1777.483,1389.022,492.442,620.084,747.552,279.824,2357.532
,21_s1m1_cell 5,cell 5,489.498,1895.483,526.208,3884.522,1131.23,836.739,1014.064,1151.924,2790.444,581.351,2445.114,2483.683,2254.428,3052.163,653.723,679.968,805.01,264.807,5140.438
,21_s1m1_cell 6,cell 6,555.135,1069.362,420.988,2019.306,1087.467,721.672,876.248,855.312,2195.695,721.016,2415.474,2016.282,2163.559,2509.543,568.636,678.397,962.45,542.144,3144.598
,21_s1m1_cell 7,cell 7,412.604,2604.476,542.122,3174.623,1047.102,744.626,903.238,1016.452,2647.303,429.601,2334.345,2329.341,2232.583,3664.12,634.762,845.913,1080.113,530.172,4615.724
,21_s1m1_cell 8,cell 8,674.315,1547.361,572.972,1768.599,1160.208,793.278,1037.414,735.669,2792.472,452.269,2370.343,1646.042,2305.185,2980.294,584.965,798.611,1618.762,1375.329,2534.641
,21_s1m1_cell 9,cell 9,503.689,2437.244,904.448,2906.748,1054.896,714.839,896.123,920.249,2250.936,383.455,2342.032,2285.144,2127.15,2378.254,662.628,1215.031,1216.468,922.402,4417.063
,21_s1m1_cell 10,cell 10,1070.986,1445.439,690.07,1373.367,1312.773,1145.038,1232.595,522.174,2913.2,501.018,2510.409,1271.964,2415.625,6519.384,537.078,1073.613,1518.069,1095.99,1632.557
,21_s1m1_cell 11,cell 11,455.525,2302.93,2254.279,3280.239,1088.712,739.788,942.314,1291.04,2186.644,366.946,2461.318,2852.631,1743.278,1357.719,788.239,643.616,642.672,254.19,4540.725
,21_s1m1_cell 12,cell 12,1014.459,1239.797,433.522,312.125,1304.674,980.336,974.005,217.456,2996.83,510.927,2588.468,373.567,2796.146,16657.811,346.4,1502.461,1223.87,918.563,355.565
,21_s1m1_cell 13,cell 13,488.118,1751.175,412.724,1671.13,1052.931,743.152,945.998,735.842,2286.153,433.69,2335.946,1680.072,1754.563,2699.086,525.176,812.876,853.437,485.218,2616.457
,21_s1m1_cell 14,cell 14,632.461,2545.598,1781.568,5091.065,1154.271,834.19,1000.138,1349.603,2394.461,401.305,2417.63,2858.768,1984.977,1874.134,800.961,674.594,739.816,259.155,5181.804
,21_s1m1_cell 15,cell 15,426.542,2807.967,677.442,2957.409,1051.836,735.408,959.597,903.626,2643.815,447.53,2359.182,2207.716,2845.533,1832.874,721.905,667.53,982.118,255.851,4393.78
,21_s1m1_cell 16,cell 16,497.528,1614.073,398.925,2202.488,1075.22,728.026,971.305,785.238,2917.572,403.56,2332.31,1863.252,2133.589,2648.133,580.804,955.56,757.806,280.319,3005.878
,21_s1m1_cell 17,cell 17,239.808,1096.67,391.506,1371.309,967.829,688.348,978.198,594.914,2205.845,336.125,2315.345,1330.472,2725.561,2107.963,577.062,664.963,933.223,252.41,2691.458
,21_s1m1_cell 18,cell 18,607.985,3157.13,1356.181,4482.815,1144.578,769.205,981.387,1188.122,2641.484,463.002,2407.536,2563.65,2551.018,1515.528,779.983,695.413,941.413,308.644,4664.363
,21_s1m1_cell 19,cell 19,446.523,1451.485,394.653,2434.176,1036.327,690.363,908.314,870.31,3068.842,348.975,2355.272,1813.151,2326.056,2269.463,580.332,859.486,861.728,262.154,3049.285
,21_s1m1_cell 20,cell 20,557.758,3145.843,3641.093,2297.152,1096.178,713.24,993.782,990.545,2283.012,392.598,2516.38,2243.523,1835.258,1241.802,745.598,648.118,617.568,266.218,3253.92
,21_s1m1_cell 21,cell 21,923.07,1208.625,423.476,312.262,1303.352,1021.031,1015.638,224.249,2942.648,521.6,2530.41,372.024,2619.708,13899.627,327.223,1370.391,1337.906,1084.258,361.218
,21_s1m1_cell 22,cell 22,431.035,1710.247,412.818,2694.618,1067.246,712.682,966.549,894.915,3095.871,352.79,2348.537,1938.725,2474.099,1957.847,650.783,650.785,815.364,256.359,3514.308
,21_s1m1_cell 23,cell 23,612.197,2364.809,1918.977,3879.139,1171.104,775.834,947.102,1158.076,2435.488,586.119,2468.674,2494.719,2002.213,1364.039,719.848,681.9,846.912,540.029,3925.137
,21_s1m1_cell 24,cell 24,489.86,2491.575,786.66,3600.945,1135.87,759.555,941.939,1067.65,2720.947,518.059,2396.839,2334.365,2743.138,1676.619,733.093,692.585,934.345,331.309,4264.53
,21_s1m1_cell 25,cell 25,461.896,1721.506,400.184,2551.57,1086.322,771.211,1069.144,855.854,2531.847,400.964,2348.127,1791.994,2261.89,2494.067,587.509,629.791,858.607,257.553,3022.65
,21_s1m1_cell 26,cell 26,460.951,2662.546,2981.929,2226.33,1098.226,705.358,963.354,1009.398,2221.803,563.767,2528.946,2486.908,1708.645,1196.588,854.327,632.454,605.551,287.338,3497.954
,21_s1m1_cell 27,cell 27,603.708,1391.091,558.979,2398.632,1220.163,1021.118,1116.839,782.856,2641.617,416.844,2308.609,1931.074,2293.803,3172.774,643.476,666.133,1137.854,764.926,3086.896
,21_s1m1_cell 28,cell 28,536.017,1663.531,420.169,2648.065,1136.866,843.322,1069.777,894.66,2917.121,395.82,2343.205,1890.267,2053.819,2985.171,591.15,633.14,797.793,291.009,3178.609
,21_s1m1_cell 29,cell 29,671.506,1585.933,671.252,2071.955,1185.785,1016.38,1028.672,677.815,2428.995,431.117,2319.538,1663.878,2103.568,3653.7,587.883,792.849,1307.527,1260.094,2682.272
,21_s1m1_cell 30,cell 30,431.522,2008.22,1928.281,3396.525,1128.859,719.224,1015.233,1063.207,2292.38,434.841,2426.245,2453.638,1786.261,1305.398,733.494,709.931,619.413,287.13,3957.246
,21_s1m1_cell 31,cell 31,437.094,2371.85,2536.764,3340.137,1108.935,697.17,947.975,1161.11,2178.885,397.221,2401.661,2866.318,1686.419,1201.497,913.229,650.662,591.31,269.124,4100.341
,21_s1m1_cell 32,cell 32,326.299,2840.613,471.371,2346.834,1075.805,723.703,920.325,787.192,2721.392,364.382,2324.518,1755.698,2880.575,1723.164,619.143,622.392,922.235,242.176,3238.61
,21_s1m1_cell 33,cell 33,419.964,2519.014,1190.956,3248.371,1105.292,756.467,976.912,897.147,2489.587,359.881,2366.113,2003.676,2117.361,1591.596,641.153,630.291,839.415,242.528,3365.621
,21_s1m1_cell 34,cell 34,608.999,1435.841,444.032,2937.1,1143.509,955.42,954.187,844.207,2320.109,375.492,2285.14,1781.159,2094.548,3647.678,602.58,668.167,803.04,294.419,3124.989
,21_s1m1_cell 35,cell 35,586.433,1720.388,850.436,1855.84,1224.345,995.264,989.805,661.336,2414.048,379.238,2308.398,1536.571,2616.621,3336.988,584.512,1105.56,1532.798,1246.06,2411.707
