ROI number,Brn3a-_neg,CalR+,MEIS2+,CAVIII+,FOXP2+,Syt6+,Syt10+,Satb2+,RBPMS+,Pvalb_neg,CalB_neg,,RBPMS,Satb2+,Syt10+,Syt6+,FoxP2+,Ca8,MEIS2+,CalR,Brn3a,PValB,CalB,all,Cluster Assignment,,,,,,,,,,
1,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,GC TYPES,count,,,AC Types,,
2,0,0,1,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,/,AC//////MEIS+//Brn3a+PValB+/,28,,,,GC///////////,1,,,AC///////////,469,
3,0,1,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,CalR+/,Brn3a+,PValB+,CalB+,GC//////MEIS+/CalR+/Brn3a+PValB+CalB+,23,,,,GC//////////CalB+,1,,,AC//////////CalB+,83,
4,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,GC/////////PValB+/,7,,,AC/////////PValB+/,150,
5,0,0,1,1,0,0,0,0,1,0,0,,GC/,/,/,/,/,Ca8+/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC/////Ca8+/MEIS+//Brn3a+PValB+CalB+,26,,,,GC/////////PValB+CalB+,26,,,AC/////////PValB+CalB+,99,
6,1,0,1,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,MEIS+/,/,/,PValB+,/,AC//////MEIS+///PValB+/,3,,,,GC////////Brn3a+PValB+/,17,,,AC////////Brn3a+//,68,
7,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,GC////////Brn3a+PValB+CalB+,458,,,AC////////Brn3a+/CalB+,40,
8,0,0,0,0,0,1,0,0,0,0,0,,AC/,/,/,Syt6+/,/,/,/,/,Brn3a+,PValB+,CalB+,AC///Syt6+/////Brn3a+PValB+CalB+,1,,,,GC///////CalR+//PValB+/,1,,,AC////////Brn3a+PValB+/,57,
9,1,0,1,0,1,0,0,0,0,1,0,,AC/,/,/,/,FoxP2+/,/,MEIS+/,/,/,/,CalB+,AC////FoxP2+//MEIS+////CalB+,6,,,,GC///////CalR+/Brn3a+PValB+/,7,,,AC////////Brn3a+PValB+CalB+,133,
10,0,0,0,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,/,/,Brn3a+,PValB+,CalB+,AC////////Brn3a+PValB+CalB+,27,,,,GC///////CalR+/Brn3a+PValB+CalB+,41,,,AC///////CalR+//PValB+CalB+,1,
11,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,GC//////MEIS+///PValB+/,6,,,AC///////CalR+/Brn3a+/CalB+,2,
12,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,GC//////MEIS+///PValB+CalB+,27,,,AC//////MEIS+/////,196,
13,0,0,0,0,0,1,0,0,0,0,0,,AC/,/,/,Syt6+/,/,/,/,/,Brn3a+,PValB+,CalB+,AC///Syt6+/////Brn3a+PValB+CalB+,1,,,,GC//////MEIS+//Brn3a+/CalB+,1,,,AC//////MEIS+////CalB+,42,
14,1,0,1,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,MEIS+/,/,/,PValB+,/,AC//////MEIS+///PValB+/,3,,,,GC//////MEIS+//Brn3a+PValB+/,18,,,AC//////MEIS+///PValB+/,22,
15,0,1,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,CalR+/,Brn3a+,PValB+,CalB+,GC//////MEIS+/CalR+/Brn3a+PValB+CalB+,23,,,,GC//////MEIS+//Brn3a+PValB+CalB+,1003,,,AC//////MEIS+///PValB+CalB+,15,
16,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,GC//////MEIS+/CalR+//PValB+/,1,,,AC//////MEIS+//Brn3a+//,26,
17,0,0,0,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,/,/,Brn3a+,PValB+,CalB+,GC////////Brn3a+PValB+CalB+,22,,,,GC//////MEIS+/CalR+//PValB+CalB+,2,,,AC//////MEIS+//Brn3a+/CalB+,19,
18,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,GC//////MEIS+/CalR+/Brn3a+PValB+/,2,,,AC//////MEIS+//Brn3a+PValB+/,10,
19,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,GC//////MEIS+/CalR+/Brn3a+PValB+CalB+,104,,,AC//////MEIS+//Brn3a+PValB+CalB+,79,
20,1,0,1,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,MEIS+/,/,/,/,/,AC//////MEIS+/////,15,,,,GC/////Ca8+///Brn3a+PValB+CalB+,17,,,AC//////MEIS+/CalR+///CalB+,1,
21,0,0,0,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,/,/,Brn3a+,PValB+,CalB+,AC////////Brn3a+PValB+CalB+,27,,,,GC/////Ca8+/MEIS+//Brn3a+PValB+CalB+,108,,,AC//////MEIS+/CalR+//PValB+/,1,
